logFC	logCPM	F	PValue	FDR	PeakID	Chr	Start	End
1.3638408173362302	1.7703784629524077	11.27621471196244	7.886669761617639e-4	0.002931840345530528	Peak_6	GL000251.2	123879	124133
2.037910653785284	0.3534423140638888	7.1663394484353775	0.007443318434903362	0.020037825965809275	Peak_12	GL000254.2	1310155	1310377
1.5030718730735835	0.5939144856210009	5.518178134397532	0.018843632718646582	0.044060249843771396	Peak_24	GL000257.2	69730	69989
1.6871827735756746	1.8989478542303104	18.457252964033934	1.7577904870740746e-5	1.0525553249770792e-4	Peak_28	GL383527.1	131174	131584
2.2221893558629864	0.47031886268648443	9.331019031199043	0.0022603598263177833	0.007247390389795719	Peak_29	GL383527.1	131705	131995
2.5079053826865274	0.8100383020764441	14.73031589525074	1.249749227937192e-4	5.889110626255798e-4	Peak_30	GL383530.1	43902	44260
3.906551724385733	-0.22759285500596588	8.050439964605914	0.004560507880855295	0.013214405800831193	Peak_32	GL383539.1	38323	38523
3.5597699914873937	0.9612051171535921	25.657722244699762	4.166177365878061e-7	3.7903490285147545e-6	Peak_33	GL383545.1	49627	50035
2.626158437461594	0.8074855878338599	15.44189782812122	8.578529291110411e-5	4.235990186872558e-4	Peak_36	GL383545.1	72962	73209
1.067777342328283	2.4214056678895624	12.126168890055244	4.998036164335033e-4	0.0019757074397146524	Peak_54	KI270587.1	755	2044
1.040200683513131	3.166762690412846	21.328389898659424	3.929001502417481e-6	2.7975072865255986e-5	Peak_64	KI270713.1	20813	21264
2.573828915343357	1.2839265066174546	22.5115432598557	2.1244483454333042e-6	1.6195850474782023e-5	Peak_68	KI270714.1	3039	3491
1.170143123924192	1.489508644528808	7.071577251860844	0.007846965762841827	0.02096713615143164	Peak_77	KI270728.1	1791374	1791756
1.63780743374591	1.1367520732422896	9.659791075427115	0.001889943887994969	0.006217515624755425	Peak_95	KI270734.1	84541	84919
2.2677274041160236	0.6206332187663854	10.962152896315683	9.339660848058309e-4	0.0033891247347271588	Peak_104	KI270772.1	41337	41562
