logFC	logCPM	F	PValue	FDR	PeakID	Chr	Start	End	Annotation	Distance to TSS	Gene Name
1.6054283253138122	1.0555501828156013	11.60599919411345	6.605767816693071e-4	0.0020654799131493754	Peak_22	GL000257.2	69742	69994	NA	NA	NA
1.8318389899819398	0.668926714309782	10.483035782705	0.0012095855023082347	0.003538637794783879	Peak_23	GL383527.1	123291	123648	NA	NA	NA
2.1142720329622953	2.334251988621969	44.98977150608284	2.11303030277553e-11	2.997801859358876e-10	Peak_24	GL383527.1	131185	131915	NA	NA	NA
3.199263214042003	0.9066227619646554	28.360844866968105	1.0337156434911258e-7	7.326704486184391e-7	Peak_25	GL383530.1	43892	44260	NA	NA	NA
1.8513228300372344	1.010568108611327	14.205900563237227	1.6501451481868158e-4	5.958607218963686e-4	Peak_27	GL383533.1	97981	98445	NA	NA	NA
2.6030693939407246	1.314949957116811	30.01276917887073	4.420275087788723e-8	3.3683402955746217e-7	Peak_28	GL383545.1	49576	50040	NA	NA	NA
1.482315382433778	0.6342031152264096	7.1047874284558334	0.007703016732215455	0.01819496584700401	Peak_31	GL383550.2	20901	21159	NA	NA	NA
2.8625049278034984	1.681466190693922	43.58605538003995	4.3115565381411863e-11	5.786405487082677e-10	Peak_66	KI270714.1	3008	3427	NA	NA	NA
1.3221576766912806	1.6865602959053203	12.868100600809722	3.361929161966255e-4	0.0011296856868641394	Peak_90	KI270734.1	84448	84957	NA	NA	NA
1.481621877267255	1.259217281077496	11.623002546362628	6.545738343327113e-4	0.002047890705947577	Peak_91	KI270734.1	132211	132469	NA	NA	NA
1.5158139068467795	0.8911757348562446	9.217855079142064	0.0024042446293854503	0.006515669142273397	Peak_102	KI270772.1	41342	41571	NA	NA	NA
2.281517410369644	-0.11416888004837387	6.046647988501876	0.013953388022373902	0.030601904399167098	Peak_103	KI270780.1	98062	98262	NA	NA	NA
1.174284845378844	1.0894238088725752	6.790676658166232	0.00918021026001021	0.021221793226771448	Peak_105	KI270780.1	115839	116211	NA	NA	NA
2.899360050346292	0.5143706577635184	17.68074046368348	2.6405708542398722e-5	1.1424193942827555e-4	Peak_108	KI270794.1	27737	27974	NA	NA	NA
3.4371719707105872	0.09462124051953319	13.268839867004758	2.715320679550678e-4	9.318286421476814e-4	Peak_111	KI270803.1	365575	365806	NA	NA	NA
1.938480221142198	0.0565439535920259	5.890420638325108	0.015245029082275794	0.03305374115696906	Peak_124	KI270821.1	229673	229899	NA	NA	NA
1.2408163357222401	0.7149505778752971	5.5520671359478495	0.018482452641227852	0.039105760537285816	Peak_132	KI270829.1	84737	84937	NA	NA	NA
2.0949088339380997	1.0645348567243205	18.05898849859441	2.165540413539444e-5	9.543358697214279e-5	Peak_141	KI270841.1	72488	72954	NA	NA	NA
3.633586320143026	1.9416718197047136	69.39665213062483	9.368324322293943e-17	3.13495886242884e-15	Peak_142	KI270841.1	73288	73787	NA	NA	NA
2.2785194917212825	1.4603088495387033	27.122609883500836	1.9562739712477536e-7	1.316419136603682e-6	Peak_147	KI270853.1	1679923	1680160	NA	NA	NA
3.2996270549291657	0.24999898823158556	15.308876899813272	9.202995147846898e-5	3.5210302352958083e-4	Peak_152	KI270857.1	1956227	1956436	NA	NA	NA
1.2833287826237292	0.725084952016398	6.022288044214805	0.014147126547078835	0.030974194158108214	Peak_169	KI270904.1	366563	366778	NA	NA	NA
1.5486091070797594	1.1501585512891563	11.795032416873836	5.96852784055961e-4	0.001887778987424588	Peak_173	KI270905.1	1880455	1880730	NA	NA	NA
8.080113085293787	0.375058778205212	30.351075798374087	3.715134642909253e-8	2.874357750091267e-7	Peak_177	KI270905.1	3450148	3450348	NA	NA	NA
1.923283223399817	0.4722093190580398	9.413118170576052	0.002161468700499813	0.005921845518272612	Peak_178	KI270905.1	4996507	4996723	NA	NA	NA
1.721329346930486	1.1876610530980105	14.409022016392692	1.481642343652853e-4	5.406561793393335e-4	Peak_179	KI270905.1	5053405	5053655	NA	NA	NA
2.030766582508001	0.9072200526555491	14.882561928842412	1.1529913206828737e-4	4.315104429963031e-4	Peak_186	KN538361.1	149392	149733	NA	NA	NA
2.010046347452004	0.7123689661858412	12.711309456297732	3.655361894177931e-4	0.001217613419117988	Peak_190	KQ458384.1	42308	42508	NA	NA	NA
-1.0146275360345487	2.106251246968648	10.710338668304558	0.0010698286177532748	0.0031737878358193404	Peak_192	KV575244.1	373411	373643	NA	NA	NA
4.769721445536695	0.40278131817686313	25.232729723646532	5.189306953359878e-7	3.2128506519326074e-6	Peak_201	KV880768.1	333975	334175	NA	NA	NA
4.197081906902002	-0.09094740155860247	12.820021896653971	3.4492854650943047e-4	0.0011556264072430673	Peak_204	KZ208912.1	350864	351079	NA	NA	NA
3.275976378149753	-0.029855875874299834	10.78484813706513	0.001027665594997283	0.0030637891382270166	Peak_206	KZ208915.1	304238	304452	NA	NA	NA
1.1500440752389536	1.9706324089736573	12.05101806880194	5.203291151433903e-4	0.0016697309067812164	Peak_218	KZ208915.1	2693064	2693654	NA	NA	NA
1.8412662985304287	0.743876545253083	11.335890495184898	7.637564487122015e-4	0.002347541428768943	Peak_219	KZ208915.1	2748313	2748540	NA	NA	NA
4.3706041221912955	0.8891293044023666	37.588466950548465	9.143076845726025e-10	9.60901329065751e-9	Peak_222	KZ208915.1	3546628	3546873	NA	NA	NA
1.7222057523457164	0.8554136352742786	11.171881248778814	8.34209157580103e-4	0.0025435718839791075	Peak_228	KZ208915.1	4650159	4650394	NA	NA	NA
2.9790993922092155	0.22042937500945395	13.07468645857936	3.0112373555008437e-4	0.001023193071514623	Peak_230	KZ208915.1	4779103	4779306	NA	NA	NA
5.438182347194452	0.9785101855360515	47.06400125910307	7.373480471250427e-12	1.1342137649541205e-10	Peak_231	KZ208915.1	4801147	4801400	NA	NA	NA
2.853669112637972	0.12108415752290029	11.015879708989251	9.073153276281746e-4	0.0027388132709285215	Peak_233	KZ208915.1	5654052	5654299	NA	NA	NA
