X	seqnames	start	end	width	strand	Conc	Conc_WT	Conc_MUTANT	Fold	p.value	FDR
40154	chr2	28274808	28275308	501	*	6.3274012710366	7.16104146883144	4.12863299054928	2.77833813052703	1.62873692772032e-18	9.58452886900983e-14
24911	chr14	100476443	100476943	501	*	7.11110416195606	7.79756798938719	5.7551115448635	1.95981359867615	2.3268502510281e-18	9.58452886900983e-14
7060	chr1	208107763	208108263	501	*	6.53463670785559	7.3095092552261	4.74358397455781	2.39528783764206	1.43893095541137e-17	3.95140033228998e-13
8006	chr1	235910353	235910853	501	*	6.73937712788384	7.44065366653418	5.32070778695136	2.01691203188207	1.32519540673605e-15	2.72930619994324e-11
45872	chr2	237500877	237501377	501	*	6.27144717083711	7.02938210500667	4.57680696608389	2.27886844746611	2.22859183173591e-14	3.67191704564136e-10
3041	chr1	55429058	55429558	501	*	7.33197579730754	7.89329045316873	6.40067891460921	1.44478544359843	1.33637827624322e-13	1.83489191922448e-9
7061	chr1	208111843	208112343	501	*	6.16848404746507	6.92168649896211	4.49947756229168	2.23572983096064	2.32983861275919e-13	2.74195377994754e-9
64234	chr5	173764385	173764885	501	*	6.3310392502314	7.0425230731249	4.86714221741444	2.03046888788354	7.64753459516903e-13	7.87523993774019e-9
45724	chr2	233974530	233975030	501	*	5.50246906775147	6.3824716218542	2.85519542251488	2.99068473976282	1.51035863908672e-12	1.37435505648302e-8
76782	chr8	142699613	142700113	501	*	5.45168608318459	6.34940567956386	2.58268329342217	3.1168897585318	1.66827105008742e-12	1.37435505648302e-8
10692	chr10	85642717	85643217	501	*	6.18592718631822	6.90304140119907	4.69631996402488	2.04855343608313	3.74190262891363e-12	2.80241293068329e-8
19216	chr12	97386172	97386672	501	*	7.21394731665542	7.761797066321	6.31987961501282	1.39595579172317	4.25392241334545e-12	2.92038863546854e-8
11921	chr10	117461696	117462196	501	*	6.2018490965634	6.9143923137603	4.73315700960694	2.02563659966102	1.10656250222697e-11	7.01237169680476e-8
73987	chr8	21068023	21068523	501	*	5.42488465077381	6.28913888754764	2.94775662280589	2.8300372404131	1.30336292541249e-11	7.66954603723798e-8
37619	chr19	30036436	30036936	501	*	6.2810872826467	6.96310068685387	4.94328461731982	1.88553632741029	1.98569421141245e-11	1.08827870809821e-7
73187	chr7	137953082	137953582	501	*	5.70450719681381	6.5164336497165	3.67209432969523	2.50686304195981	2.19301031535489e-11	1.08827870809821e-7
10507	chr10	75294773	75295273	501	*	5.97914494376288	6.72644248444176	4.34138278648663	2.1700974131096	2.24572576990964e-11	1.08827870809821e-7
33430	chr17	66952025	66952525	501	*	6.07860480881913	6.79522329470505	4.59128379010369	2.02782178759473	2.87762342364183e-11	1.31702429381367e-7
27662	chr15	90165606	90166106	501	*	6.02148556422165	6.74488149501132	4.50252045587217	2.06374908871127	3.22846439163056e-11	1.39982817637531e-7
41673	chr2	71558556	71559056	501	*	6.60034474420724	7.22436734389012	5.4763878215774	1.6574892743508	3.86385872608966e-11	1.59156204786359e-7
10506	chr10	75283642	75284142	501	*	5.86000514658893	6.61260275514098	4.19423625054664	2.19343606481445	5.83240432773543e-11	2.28802444441667e-7
69107	chr6	169070447	169070947	501	*	6.63256109500941	7.24751311004186	5.53866031554433	1.62502510449909	7.71262989475389e-11	2.88809943631643e-7
64670	chr6	3612233	3612733	501	*	5.33014166297151	6.18659540800109	2.92978482157952	2.73180798821625	9.22248712969213e-11	3.30333449877521e-7
66327	chr6	52340068	52340568	501	*	5.43956812328123	6.27522625702835	3.22418272190797	2.6057428929918	1.45181492966986e-10	4.98347573066928e-7
68994	chr6	163745815	163746315	501	*	5.49948734826178	6.33109332015238	3.31725571853198	2.58468875724485	1.69439013655774e-10	5.583489929196e-7
27767	chr15	92803980	92804480	501	*	7.49281343246557	7.96422580815428	6.78802832167749	1.14476041815914	2.57636834790831e-10	8.07867079418141e-7
78558	chr9	94919405	94919905	501	*	6.47001226813384	7.10300043694378	5.315526581843	1.68698471420964	2.64771565928113e-10	8.07867079418141e-7
29987	chr16	75305295	75305795	501	*	7.69416821121562	8.14554349155387	7.0336634652639	1.08211310723068	4.46137672842778e-10	1.31263263443335e-6
40982	chr2	53505738	53506238	501	*	5.39706504727152	6.20519679435287	3.39161552850903	2.43599260680193	5.12088553864756e-10	1.40671806951986e-6
